Timestamp,Machine_ID,Temperature,Pressure
2026-03-24 20:56:54.758929,Machine_A,25.09,1.47
2026-03-24 20:56:55.773628,Machine_A,24.92,1.23
2026-03-24 20:56:56.786275,Machine_A,26.74,1.49
2026-03-24 20:56:57.792810,Machine_A,23.6,1.43
2026-03-24 20:56:58.802514,Machine_A,20.17,1.3
2026-03-24 20:56:59.804836,Machine_A,24.46,1.3
2026-03-24 20:57:00.806750,Machine_A,20.52,1.14
2026-03-24 20:57:01.811375,Machine_A,29.6,1.04
2026-03-24 20:57:02.825504,Machine_A,20.2,1.04
2026-03-24 20:57:03.832264,Machine_A,27.88,1.12
